City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,scottburgh,-30.2867,30.7532,18.29,93,100,5.84,ZA,1697432530
270,kununurra,-15.7667,128.7333,37.99,6,0,5.66,AU,1697432530
271,mazarron,37.5992,-1.3149,19.69,71,99,2.06,ES,1697432531
272,ixtapa,20.7,-105.2,24.93,96,100,2.19,MX,1697432531
273,jingdezhen,29.2947,117.2079,27.54,34,0,1.03,CN,1697432531
274,arhavi,41.3492,41.3069,13.95,68,98,2.61,TR,1697432532
275,la ronge,55.1001,-105.2842,10.14,66,75,4.63,CA,1697432532
276,soio,-6.1349,12.3689,24.83,85,93,3.03,AO,1697432532
277,bengkulu,-3.8004,102.2655,27.78,71,41,4.82,ID,1697432533
278,ust-nera,64.5667,143.2,-13.21,95,40,2.68,RU,1697432533
279,prineville,44.2999,-120.8345,13.4,74,0,1.54,US,1697432466
280,creston,41.0586,-94.3614,5.95,93,0,3.09,US,1697432534
281,fort mcmurray,56.7268,-111.381,6.73,81,40,1.03,CA,1697432410
282,cootamundra,-34.65,148.0333,14.41,27,58,10.09,AU,1697432534
283,sinabang,2.4803,96.3801,27.15,80,93,2.95,ID,1697432534
284,charleston,32.7766,-79.9309,16.68,80,100,4.12,US,1697432349
285,cabedelo,-6.9811,-34.8339,23.37,77,23,6.32,BR,1697432535
286,mount pearl,47.5166,-52.7813,11.29,95,100,2.06,CA,1697432535
287,udachny,66.4167,112.4,-4.75,92,100,6.42,RU,1697432536
288,anzio,41.4853,12.6179,20.29,70,100,2.36,IT,1697432536
289,la sarre,48.8002,-79.1996,4.53,86,1,4.98,CA,1697432537
290,wewak,-3.5534,143.6268,29.49,66,71,2.55,PG,1697432537
291,gadzhiyevo,69.2551,33.3362,4.82,89,99,12.4,RU,1697432537
292,ashmun,30.2986,30.9764,22.47,66,0,2.91,EG,1697432537
293,stanthorpe,-28.6667,151.95,27.46,21,45,8.5,AU,1697432538
294,howrah,22.5892,88.3103,32.0,55,20,2.57,IN,1697432538
295,ursulo galvan,22.7333,-98.3,24.07,58,28,0.53,MX,1697432539
296,kirillov,59.863,38.3813,7.77,83,78,3.21,RU,1697432539
297,humaita,-7.5061,-63.0208,23.8,89,84,1.37,BR,1697432539
298,karwar,14.8,74.1333,29.14,69,59,1.34,IN,1697432540
299,chibougamau,49.9168,-74.3659,7.79,81,0,5.14,CA,1697432541
300,tshabong,-26.05,22.45,17.56,35,0,2.85,BW,1697432541
301,guapi,2.5708,-77.8854,24.1,95,100,1.36,CO,1697432542
302,charters towers,-20.1,146.2667,34.07,18,51,2.78,AU,1697432542
303,veselyy,47.0934,40.7422,12.26,85,41,4.0,RU,1697432543
304,noshiro,40.2039,140.0242,16.46,58,67,8.59,JP,1697432543
305,puerto armuelles,8.2833,-82.8667,26.16,78,100,3.13,PA,1697432544
306,mossel bay,-34.1831,22.146,16.96,90,62,1.74,ZA,1697432544
307,carnarvon,-24.8667,113.6333,35.1,22,0,0.31,AU,1697432544
308,alpine,32.835,-116.7664,22.04,47,0,0.0,US,1697432544
309,heroica caborca,30.7167,-112.15,26.57,29,0,2.09,MX,1697432442
310,fairwood,47.4484,-122.1573,14.84,91,0,2.06,US,1697432545
311,adrar,20.5022,-10.0711,25.23,18,41,2.97,MR,1697432546
312,yoichi,43.2039,140.7703,11.63,57,80,8.13,JP,1697432546
313,quelimane,-17.8786,36.8883,26.97,88,75,2.68,MZ,1697432546
314,kokuy,52.2037,117.5529,8.24,24,85,2.29,RU,1697432547
315,betio village,1.358,172.9211,31.02,69,100,2.92,KI,1697432547
316,port shepstone,-30.7414,30.455,18.04,94,100,5.38,ZA,1697432548
317,argo,37.6333,22.7333,17.87,69,0,1.86,GR,1697432548
318,black forest,39.0131,-104.7008,7.43,59,0,2.57,US,1697432548
319,anse a galets,18.8317,-72.8642,28.04,75,32,0.28,HT,1697432549
320,volksrust,-27.3654,29.8818,10.78,95,100,1.65,ZA,1697432549
321,jijiga,9.35,42.8,20.68,66,6,0.58,ET,1697432549
